Dataset name	Dataset Paper ID	Gold Reference Paper (Paper Id)	Gold Reference Table (Caption Id e.g., Table 1)	Table URL	Dataset name Aliases (seperated by comma)	Type of result (separated by commas)	Additiional datasets?	Notes
		deefa972eed2e039cc103b3ed74566a02f3da158	table 11	https://www.semanticscholar.org/paper/Knowledge-Based-Textual-Inference-via-Parse-Tree-T-Bar-Haim-Dagan/deefa972eed2e039cc103b3ed74566a02f3da158/figure/17		unsure		
icoseg: interactive cosegmentation by touch	aef84912576b251c7ef2a9668f7f15a3cc667c8a	ced5b96ba18761646f25c6e8364aba6dc37136f4	table I	https://www.semanticscholar.org/paper/Robust-Object-Co-Segmentation-Using-Background-Pri-Han-Quan/ced5b96ba18761646f25c6e8364aba6dc37136f4/figure/7	sub-icoseg,	average precision		
		ced5b96ba18761646f25c6e8364aba6dc37136f4	table II	https://www.semanticscholar.org/paper/Robust-Object-Co-Segmentation-Using-Background-Pri-Han-Quan/ced5b96ba18761646f25c6e8364aba6dc37136f4/figure/8		average precision		
		ced5b96ba18761646f25c6e8364aba6dc37136f4	table III	https://www.semanticscholar.org/paper/Robust-Object-Co-Segmentation-Using-Background-Pri-Han-Quan/ced5b96ba18761646f25c6e8364aba6dc37136f4/figure/9		average precision		
		ced5b96ba18761646f25c6e8364aba6dc37136f4	table VIII	https://www.semanticscholar.org/paper/Robust-Object-Co-Segmentation-Using-Background-Pri-Han-Quan/ced5b96ba18761646f25c6e8364aba6dc37136f4/figure/14		model component analysis		
		ced5b96ba18761646f25c6e8364aba6dc37136f4	table X	https://www.semanticscholar.org/paper/Robust-Object-Co-Segmentation-Using-Background-Pri-Han-Quan/ced5b96ba18761646f25c6e8364aba6dc37136f4/figure/15		stage analysis		
pascal recognizing textual entailment challenge (rte-7)	0f8468de03ee9f12d693237bec87916311bf1c24	4546b7207e1a87c205bdf45c70f7b06fb3c38e21	table 5	https://www.semanticscholar.org/paper/Inference-is-Everything%3A-Recasting-Semantic-Resour-White-Rastogi/4546b7207e1a87c205bdf45c70f7b06fb3c38e21/figure/5	RTE?	accuracy		
		c6e6f4d0710e248d516cb5bebb6720ac2526900e	table 1	https://www.semanticscholar.org/paper/Siamese-Network-with-Soft-Attention-for-Semantic-T-Kolawole-Caro/c6e6f4d0710e248d516cb5bebb6720ac2526900e/figure/1	RTE?	accuracy		
		c6e6f4d0710e248d516cb5bebb6720ac2526900e	table 2	https://www.semanticscholar.org/paper/Siamese-Network-with-Soft-Attention-for-Semantic-T-Kolawole-Caro/c6e6f4d0710e248d516cb5bebb6720ac2526900e/figure/3	RTE?	accuracy		
webkb	7a40b7ddfb55fc3484a89aef859ab1eb91e34d98	-						
		-						
		-						
bioportal	f1d2cbc925297a35d168b2c66308249dea4e541f	-						
		-						
		-						
congressional speech	d65711a2c4953ca24d252c3072d442f408f2ea89	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
nell	ddf0f2226cc837750eb1eb57c43d8192ef0fc2b3	77f9c306868f02f6412c704169270a66ef680c87	table 2	https://www.semanticscholar.org/paper/DeepPath%3A-A-Reinforcement-Learning-Method-for-Know-Xiong-Hoang/77f9c306868f02f6412c704169270a66ef680c87/figure/2	NELL-995	prediction results		
		77f9c306868f02f6412c704169270a66ef680c87	table 3	https://www.semanticscholar.org/paper/DeepPath%3A-A-Reinforcement-Learning-Method-for-Know-Xiong-Hoang/77f9c306868f02f6412c704169270a66ef680c87/figure/4		prediction results		
		301b76b8ec44ad59d0fe734823a33fbea94d029e	table 2	https://www.semanticscholar.org/paper/Graph-Convolutional-Networks-Kipf-Welling/301b76b8ec44ad59d0fe734823a33fbea94d029e/figure/1		classification accuracy		
pubchem library	9871e018085124fe765fae45840bbaaf1586c866	-	-	-	-	one result...		
		-	-	-	-			
		-	-	-	-			
augmented wordnet	62a4a6abc2a52889db51b56ef082d02784266985	bf41692b28d7373fb2caaf766b4c885fe0e49806	table 9	https://www.semanticscholar.org/paper/A-Framework-for-Enriching-Lexical-Semantic-Resourc-Biemann-Faralli/bf41692b28d7373fb2caaf766b4c885fe0e49806/figure/13		accuracy		
		bf41692b28d7373fb2caaf766b4c885fe0e49806	table 10	https://www.semanticscholar.org/paper/A-Framework-for-Enriching-Lexical-Semantic-Resourc-Biemann-Faralli/bf41692b28d7373fb2caaf766b4c885fe0e49806/figure/14		accuracy		
		bf41692b28d7373fb2caaf766b4c885fe0e49806	table 13	https://www.semanticscholar.org/paper/A-Framework-for-Enriching-Lexical-Semantic-Resourc-Biemann-Faralli/bf41692b28d7373fb2caaf766b4c885fe0e49806/figure/17		precision, recall		
		bf41692b28d7373fb2caaf766b4c885fe0e49806	table 15	https://www.semanticscholar.org/paper/A-Framework-for-Enriching-Lexical-Semantic-Resourc-Biemann-Faralli/bf41692b28d7373fb2caaf766b4c885fe0e49806/figure/19		Cumulative Fowlkes & Mallows measure		
conll-x shared task: multi-lingual dependency parsing	5ffc08b6a4816ab19caa1c2633527c0a99877c4f	311de02e063e773fa01126e66da94096a2348817	table 3.3	https://www.semanticscholar.org/paper/N-EURAL-F-ACTORS-%2C-AND-A-PPROXIMATION---AWARE-T-RA-Gormley/311de02e063e773fa01126e66da94096a2348817/figure/10	CoNLL-2009, CoNLL 2005, CoNLL'09	avergae F1		
		311de02e063e773fa01126e66da94096a2348817	table 3.4	https://www.semanticscholar.org/paper/N-EURAL-F-ACTORS-%2C-AND-A-PPROXIMATION---AWARE-T-RA-Gormley/311de02e063e773fa01126e66da94096a2348817/figure/12		avergae F1		
		311de02e063e773fa01126e66da94096a2348817	table 3.5	https://www.semanticscholar.org/paper/N-EURAL-F-ACTORS-%2C-AND-A-PPROXIMATION---AWARE-T-RA-Gormley/311de02e063e773fa01126e66da94096a2348817/figure/13		avergae F2		
		311de02e063e773fa01126e66da94096a2348817	table 3.8	https://www.semanticscholar.org/paper/N-EURAL-F-ACTORS-%2C-AND-A-PPROXIMATION---AWARE-T-RA-Gormley/311de02e063e773fa01126e66da94096a2348817/figure/16		F1		
		311de02e063e773fa01126e66da94096a2348817	table 3.9	https://www.semanticscholar.org/paper/N-EURAL-F-ACTORS-%2C-AND-A-PPROXIMATION---AWARE-T-RA-Gormley/311de02e063e773fa01126e66da94096a2348817/figure/17		accuracy		
		311de02e063e773fa01126e66da94096a2348817	table 6.1	https://www.semanticscholar.org/paper/N-EURAL-F-ACTORS-%2C-AND-A-PPROXIMATION---AWARE-T-RA-Gormley/311de02e063e773fa01126e66da94096a2348817/figure/31		F1		
		311de02e063e773fa01126e66da94096a2348817	table 6.3	https://www.semanticscholar.org/paper/N-EURAL-F-ACTORS-%2C-AND-A-PPROXIMATION---AWARE-T-RA-Gormley/311de02e063e773fa01126e66da94096a2348817/figure/35		precision, recall, F1		
ontonotes	6ee68cba9c5be48fa10b20e004bbfa2eaae07d86	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
subjectivity lexicon	9fcc74a36b4acd65a11c113c9950fc13ea0336c6	833c732b98c2adc49b3247140453caf9628f3354	table 2	https://www.semanticscholar.org/paper/Towards-Bootstrapping-a-Polarity-Shifter-Lexicon-u-Schulder-Wiegand/833c732b98c2adc49b3247140453caf9628f3354/figure/2		shifter?		
		-	-	-	-			
		-	-	-	-			
aslan challenge	1fbde67e87890e5d45864e66edb86136fbdbe20e	e7f6bfb9bb591eb1404ae13f0fa13ad4a3179150	table 1	https://www.semanticscholar.org/paper/Joint-Dimensionality-Reduction-and-Metric-Learning-Harandi-Salzmann/e7f6bfb9bb591eb1404ae13f0fa13ad4a3179150/figure/0	ASLAN dataset	AUCs and training times		
		e7f6bfb9bb591eb1404ae13f0fa13ad4a3179150	table 2	https://www.semanticscholar.org/paper/Joint-Dimensionality-Reduction-and-Metric-Learning-Harandi-Salzmann/e7f6bfb9bb591eb1404ae13f0fa13ad4a3179150/figure/2	ETHZ CS dataset	AUCs 		
		e7f6bfb9bb591eb1404ae13f0fa13ad4a3179150	table 3	https://www.semanticscholar.org/paper/Joint-Dimensionality-Reduction-and-Metric-Learning-Harandi-Salzmann/e7f6bfb9bb591eb1404ae13f0fa13ad4a3179150/figure/3		AUC and accuracy		
ethz shape classes	2c8593180a92708f1392cf434e85c798cd929390	2b969d7dc47b50c504bc8d9eb4c26fc7974e5317	table 9	https://www.semanticscholar.org/paper/Evaluating-contour-segment-descriptors-Yang-Tiebe/2b969d7dc47b50c504bc8d9eb4c26fc7974e5317/figure/14		F1 score		
		2b969d7dc47b50c504bc8d9eb4c26fc7974e5317	table 10	https://www.semanticscholar.org/paper/Evaluating-contour-segment-descriptors-Yang-Tiebe/2b969d7dc47b50c504bc8d9eb4c26fc7974e5317/figure/15		F1 score		
		2b969d7dc47b50c504bc8d9eb4c26fc7974e5317	table 11	https://www.semanticscholar.org/paper/Evaluating-contour-segment-descriptors-Yang-Tiebe/2b969d7dc47b50c504bc8d9eb4c26fc7974e5317/figure/16		F1 score		
		2b969d7dc47b50c504bc8d9eb4c26fc7974e5317	table 12	https://www.semanticscholar.org/paper/Evaluating-contour-segment-descriptors-Yang-Tiebe/2b969d7dc47b50c504bc8d9eb4c26fc7974e5317/figure/17		F1 score		
		2b969d7dc47b50c504bc8d9eb4c26fc7974e5317	table 13	https://www.semanticscholar.org/paper/Evaluating-contour-segment-descriptors-Yang-Tiebe/2b969d7dc47b50c504bc8d9eb4c26fc7974e5317/figure/18		F1 score		
		2b969d7dc47b50c504bc8d9eb4c26fc7974e5317	table 15	https://www.semanticscholar.org/paper/Evaluating-contour-segment-descriptors-Yang-Tiebe/2b969d7dc47b50c504bc8d9eb4c26fc7974e5317/figure/20		performance and runtime comparison		
		2b969d7dc47b50c504bc8d9eb4c26fc7974e5317	table 16	https://www.semanticscholar.org/paper/Evaluating-contour-segment-descriptors-Yang-Tiebe/2b969d7dc47b50c504bc8d9eb4c26fc7974e5317/figure/21		retrieval results		
power iteration clustering	108b13a6b81f1c1ef50c3f597ec7af2a37850d4e	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
verbocean	ba5bde2ebaefc59c447c0e2dcdb05f9ba0c62d58	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
biwi kinect head pose	072e8d2e7ad76ef4e3bb063b51d3ad4b6c392c8e	b825ac25867de32372eeff4b39e2b73dd9235abe	table 3	https://www.semanticscholar.org/paper/Accurate-and-fast-3D-head-pose-estimation-with-noi-Li-Zhong/b825ac25867de32372eeff4b39e2b73dd9235abe/figure/5	biwi kinect dataset, BIWI	accuracy		
		dd715a98dab34437ad05758b20cc640c2cdc5715	table 2	https://www.semanticscholar.org/paper/Joint-head-pose-and-facial-landmark-regression-fro-Wang-Zhang/dd715a98dab34437ad05758b20cc640c2cdc5715/figure/3		head pose estimation?		
		812eba8ddf1158e2e2630c0fe1260ce85de763a5	table 1	https://www.semanticscholar.org/paper/Face-from-Depth-for-Head-Pose-Estimation-on-Depth-Borghi-Fabbri/812eba8ddf1158e2e2630c0fe1260ce85de763a5/figure/1		head pose estimation error		
		812eba8ddf1158e2e2630c0fe1260ce85de763a5	table 2	https://www.semanticscholar.org/paper/Face-from-Depth-for-Head-Pose-Estimation-on-Depth-Borghi-Fabbri/812eba8ddf1158e2e2630c0fe1260ce85de763a5/figure/3		L1, L2, absolute difference, squared distance, root-mean-square error, percentage of pixel under a certain threshold		
inria person	10d6b12fa07c7c8d6c8c3f42c7f1c061c131d4c5	-	-	-	-			
		-	-	-	-			
		-	-	-	-			
openstreetmap rendering	288d4ee26ad11336a7cc1da7e9cdebc121d09b48	-	-	-	-	404 not found		
		-	-	-	-			
